sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,var_Number,var_MendeleevNumber,var_AtomicWeight,var_MeltingT,var_Column,var_Row,var_CovalentRadius,var_Electronegativity,var_NsValence,var_NpValence,var_NdValence,var_NfValence,var_NValence,var_NsUnfilled,var_NpUnfilled,var_NdUnfilled,var_NfUnfilled,var_NUnfilled,var_GSvolume_pa,var_GSbandgap,var_GSmagmom,var_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
153.34,325.88,365.680392,2450.1836,57.98,15.98,465.82,9.9088,7,10.98,30,13.72,61.7,1,7.02,0,0,8.02,79.0517,0.799,0,265.58,38.335,81.47,91.420098,612.5459,14.495,3.995,116.455,2.4772,1.75,2.745,7.5,3.43,15.425,0.25,1.755,0,0,2.005,19.762925,0.19975,0,66.395,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,4,0,0,3,24.18,0.799,0,213,625.36,82.96,4203.271403,178881.8518,3.44,1.76,840,0.337744,0.16,2.24,16,31.36,58.96,0.16,1.76,0,0,1.04,109.456054,0.10214416,0,7669.36
152.68,325.76,363.874984,2449.3972,57.96,15.96,465.64,9.9076,7,10.96,30,13.44,61.4,1,7.04,0,0,8.04,79.0584,0.799,0,268.16,38.17,81.44,90.968746,612.3493,14.49,3.99,116.41,2.4769,1.75,2.74,7.5,3.36,15.35,0.25,1.76,0,0,2.01,19.7646,0.19975,0,67.04,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,4,0,0,3,24.18,0.799,0,213,625.36,82.96,4203.271403,178881.8518,3.44,1.76,840,0.337744,0.16,2.24,16,31.36,58.96,0.16,1.76,0,0,1.04,109.456054,0.10214416,0,7669.36
152.02,325.64,362.069576,2448.6108,57.94,15.94,465.46,9.9064,7,10.94,30,13.16,61.1,1,7.06,0,0,8.06,79.0651,0.799,0,270.74,38.005,81.41,90.517394,612.1527,14.485,3.985,116.365,2.4766,1.75,2.735,7.5,3.29,15.275,0.25,1.765,0,0,2.015,19.766275,0.19975,0,67.685,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,4,0,0,3,24.18,0.799,0,213,625.36,82.96,4203.271403,178881.8518,3.44,1.76,840,0.337744,0.16,2.24,16,31.36,58.96,0.16,1.76,0,0,1.04,109.456054,0.10214416,0,7669.36
151.36,325.52,360.264168,2447.8244,57.92,15.92,465.28,9.9052,7,10.92,30,12.88,60.8,1,7.08,0,0,8.08,79.0718,0.799,0,273.32,37.84,81.38,90.066042,611.9561,14.48,3.98,116.32,2.4763,1.75,2.73,7.5,3.22,15.2,0.25,1.77,0,0,2.02,19.76795,0.19975,0,68.33,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,4,0,0,3,24.18,0.799,0,213,625.36,82.96,4203.271403,178881.8518,3.44,1.76,840,0.337744,0.16,2.24,16,31.36,58.96,0.16,1.76,0,0,1.04,109.456054,0.10214416,0,7669.36
152.92,324.74,364.6959405,2448.36705,57.79,15.955,466.27,9.89365,6.985,10.955,29.85,13.79,61.58,1.015,6.955,0,0,7.97,78.9894,0.799,0,266.255,38.23,81.185,91.17398513,612.0917625,14.4475,3.98875,116.5675,2.4734125,1.74625,2.73875,7.4625,3.4475,15.395,0.25375,1.73875,0,0,1.9925,19.74735,0.19975,0,66.56375,75,87,192.981,1302.97,15,4,100,2.51,1,4,10,14,28,1,3,0,0,2,23.845,0.799,0,217,725.2,1093.84,4847.17191,186387.6265,32.56,1.76,1151.04,0.678056,0.24,3.36,24,31.36,92.24,0.24,1.44,0,0,0.56,94.57894844,0.10214416,0,11027.44
152.88,324.54,364.6247245,2450.61545,57.75,15.955,466.19,9.90605,6.985,10.915,29.85,13.79,61.54,1.015,6.995,0,0,8.01,78.7958,0.799,0,274.775,38.22,81.135,91.15618113,612.6538625,14.4375,3.98875,116.5475,2.4765125,1.74625,2.72875,7.4625,3.4475,15.385,0.25375,1.74875,0,0,2.0025,19.69895,0.19975,0,68.69375,75,87,192.981,1302.97,15,4,100,2.51,1,4,10,14,28,1,4,0,0,3,23.845,0.799,0,217,937.8055556,944.4722222,6354.319873,155505.4502,27.80555556,2.138888889,1012.555556,0.568691667,0.222222222,2.805555556,22.22222222,43.55555556,109.8055556,0.222222222,2.138888889,0,0,1.138888889,84.59809668,0.088666806,0,11415.58333
152.86,324.44,364.5891165,2451.73965,57.73,15.955,466.15,9.91225,6.985,10.895,29.85,13.79,61.52,1.015,7.015,0,0,8.03,78.699,0.799,0,279.035,38.215,81.11,91.14727913,612.9349125,14.4325,3.98875,116.5375,2.4780625,1.74625,2.72375,7.4625,3.4475,15.38,0.25375,1.75375,0,0,2.0075,19.67475,0.19975,0,69.75875,75,87,192.981,1302.97,15,4,100,2.51,1,4,10,14,28,1,4,0,0,3,23.845,0.799,0,217,937.8055556,944.4722222,6354.319873,155505.4502,27.80555556,2.138888889,1012.555556,0.568691667,0.222222222,2.805555556,22.22222222,43.55555556,109.8055556,0.222222222,2.138888889,0,0,1.138888889,84.59809668,0.088666806,0,11415.58333
152.84,324.34,364.5535085,2452.86385,57.71,15.955,466.11,9.91845,6.985,10.875,29.85,13.79,61.5,1.015,7.035,0,0,8.05,78.6022,0.799,0,283.295,38.21,81.085,91.13837713,613.2159625,14.4275,3.98875,116.5275,2.4796125,1.74625,2.71875,7.4625,3.4475,15.375,0.25375,1.75875,0,0,2.0125,19.65055,0.19975,0,70.82375,75,87,192.981,1302.97,15,4,100,2.51,1,4,10,14,28,1,4,0,0,3,23.845,0.799,0,217,937.8055556,944.4722222,6354.319873,155505.4502,27.80555556,2.138888889,1012.555556,0.568691667,0.222222222,2.805555556,22.22222222,43.55555556,109.8055556,0.222222222,2.138888889,0,0,1.138888889,84.59809668,0.088666806,0,11415.58333
154,326,367.4858,2450.97,58,16,466,9.91,7,11,30,14,62,1,7,0,0,8,79.045,0.799,0,263,38.5,81.5,91.87145,612.7425,14.5,4,116.5,2.4775,1.75,2.75,7.5,3.5,15.5,0.25,1.75,0,0,2,19.76125,0.19975,0,65.75,75,25,192.981,1302.97,5,4,82,1.54,1,4,10,14,23,1,3,0,0,2,23.845,0.799,0,213,755.25,103.25,5110.0277,221284.0719,4.25,2,948.75,0.36861875,0.1875,2.6875,18.75,36.75,73.25,0.1875,1.1875,0,0,0.5,100.2417047,0.119700188,0,8454.1875
