formula,Temperature,zt,k,c,s
Bi1Cu1Se1O1,701,0.92,0.7223,446.126,146.245
Bi0.98Sn0.02Cu1Se1O1,701,0.71,0.8563,407.91,145.164
Bi0.96Sn0.04Cu1Se1O1,701,0.67,1.0033,426.163,150.029
Bi0.94Sn0.06Cu1Se1O1,701,0.66,0.8823,275.277,171.11
Bi0.92Sn0.08Cu1Se1O1,701,0.64,0.8887,333.028,157.056
Bi0.985Na0.015Cu1Se1O1,700,0.38,0.5433,28.186,321.839
Bi0.945Na0.015Pb0.04Cu1Se1O1,700,0.51,0.6412,132.94799999999998,187.644
Bi0.925Na0.015Pb0.06Cu1Se1O1,700,0.49,0.7006,188.525,161.782
Bi0.905Na0.015Pb0.08Cu1Se1O1,700,0.54,0.6774,244.68099999999998,147.126
Bi1Cu1Se1O1,700,0.25,0.6095,23.705,314.71299999999997
Bi0.99Cd0.01Cu1Se1O1,700,0.43,0.5094,35.978,297.985
Bi0.95Cd0.05Cu1Se1O1,700,0.67,0.4942,84.16,230.451
Bi0.9Cd0.1Cu1Se1O1,700,0.45,0.5742,89.16,208.146
Bi1Cu0.99Ag0.01Se1O1,700,0.24,0.5726,19.067999999999998,317.687
Bi1Cu0.97Ag0.03Se1O1,700,0.06,0.5261,5.348,300.584
Bi1Cu1Se1O1,700,0.36,0.5139,15.964,338.577
Bi0.995Sb0.005Cu1Se1O1,700,0.45,0.5237,19.854,344.569
Bi0.98Sb0.02Cu1Se1O1,700,0.41,0.5465,24.781,300.125
Bi0.95Sb0.05Cu1Se1O1,700,0.34,0.5836,30.421,179.27599999999998
Bi0.92Sb0.08Cu1Se1O1,700,0.37,0.5901,29.254,260.67400000000004
Bi1Cu1Se1O1,700,0.4,0.5141,16.897000000000002,336.42199999999997
Bi0.99Sb0.01Cu1Se0.99Te0.01O1,700,0.59,0.5633,53.763000000000005,246.965
Bi0.98Sb0.02Cu1Se0.98Te0.02O1,700,0.85,0.608,100.61399999999999,225.87900000000002
Bi0.96Sb0.04Cu1Se0.96Te0.04O1,700,0.85,0.6514,136.713,199.68099999999998
Bi0.94Sb0.06Cu1Se0.94Te0.06O1,700,0.89,0.6815,173.579,186.262
Bi0.92Sb0.08Cu1Se0.92Te0.08O1,700,0.89,0.7147,221.96599999999998,167.732
Bi1Cu1Se1O1,700,0.39,0.5147,18.0,336.61199999999997
Bi0.98Er0.02Cu1Se1O1,700,0.42,0.5706,35.25,261.202
Bi0.96Er0.04Cu1Se1O1,700,0.57,0.5991,56.25,247.541
Bi0.94Er0.06Cu1Se1O1,700,0.63,0.6522,79.5,223.497
Bi0.92Er0.08Cu1Se1O1,700,0.62,0.6922,100.75,207.104
Bi0.90Er0.10Cu1Se1O1,700,0.66,0.7054,125.75,192.35
Bi1Cu1Se1O1,700,0.4,0.5138,17.961,336.819
Bi0.94Pb0.06Cu0.94Ni0.06Se1O1,700,0.59,0.6361,116.99,179.09799999999998
Bi0.92Pb0.08Cu0.92Ni0.08Se1O1,700,0.77,0.6513,158.252,176.524
Bi0.90Pb0.10Cu0.90Ni0.10Se1O1,700,0.92,0.6646,217.96099999999998,166.96599999999998
Bi1Cu1Se1O1,700,0.14,0.6,5.079,374.81800000000004
Bi0.975Cu1Se1O1,700,0.61,0.6091,19.804000000000002,370.45099999999996
Bi0.95Cu1Se1O1,700,0.53,0.6682,46.46,281.659
Bi0.9Cu1Se1O1,700,0.28,0.6273,49.348,193.595
Bi1Cu1Se1O1,700,0.1,0.5977,4.96,373.93800000000005
Bi1Cu1Se0.975O1,700,0.1,0.6318,4.548,427.05400000000003
Bi1Cu1Se0.95O1,700,0.09,0.6136,5.078,394.476
Bi1Cu1Se0.9O1,700,0.06,0.6977,3.678,388.102
Bi0.96Pb0.04Cu1Se1O1,700,0.69,0.5291,84.43799999999999,248.85
Bi0.94Pb0.06Cu1Se1O1,700,1.02,0.5382,161.28799999999998,212.264
Bi0.92Pb0.08Cu1Se1O1,700,0.65,0.6709,268.84,152.50799999999998
Bi1Cu1Se1O1,700,0.15,0.4217,6.968,363.94199999999995
Bi0.975Mg0.25Cu1Se1O1,700,0.38,0.4794,25.61,313.462
Bi0.95Mg0.05Cu1Se1O1,700,0.34,0.5059,24.678,311.538
Bi0.9Mg0.1Cu1Se1O1,700,0.32,0.5179,27.019000000000002,293.269
Bi0.875Mg0.125Cu1Se1O1,700,0.38,0.5043,28.271,312.981
Bi0.850Mg0.150Cu1Se1O1,700,0.3,0.5476,27.695,288.462
Bi0.825Mg0.175Cu1Se1O1,700,0.26,0.5917,29.949,268.75
Bi0.800Mg0.200Cu1Se1O1,700,0.22,0.6631,53.976000000000006,194.231
Bi1Cu1Se1O1,700,0.22,0.7743,34.332,291.551
Bi0.96Na0.04Cu1Se1O1,700,0.2,0.6774,41.417,233.795
